Description,Unit,Value,Bearing Code
Bearing Type,,deep groove ball bearing,K001
"Bearing designation(dimension series, bore code)",,6203,K001
Suffix,,,K001
Diameter of inner raceway,mm,n/a,K001
Diameter of outer raceway,mm,n/a,K001
Pitch circle diameter,mm,29.05,K001
Number of rolling elements,pc.,8,K001
Rolling element diameter,mm,6.75,K001
Length of rolling element,mm,6.75,K001
Nominal pressure angle,°,0,K001
Static load rating,N,n/a,K001
Dynamic load rating,N,n/a,K001
Speed limit,min-1,n/a,K001
Manufacturer,,IBU,K001
Bearing code,,K001,K001
Sample number,,,K001
Installation site,,,K001
Installation type (system type),,,K001
Operator,,"Chair of design and Drive Technology, Paderborn",K001
Number of load cycles,cycles,,K001
Lifetime,h,>50,K001
Load,N,1000-3000,K001
Dynamic equivalent load,N,,K001
Rotational speed,min-1,1500-2000,K001
Load direction,°,,K001
Comment,,,K001
Bearing Type,,deep groove ball bearing,K002
"Bearing designation(dimension series, bore code)",,6203,K002
Suffix,,,K002
Diameter of inner raceway,mm,n/a,K002
Diameter of outer raceway,mm,n/a,K002
Pitch circle diameter,mm,29.05,K002
Number of rolling elements,pc.,8,K002
Rolling element diameter,mm,6.75,K002
Length of rolling element,mm,6.75,K002
Nominal pressure angle,°,0,K002
Static load rating,N,n/a,K002
Dynamic load rating,N,n/a,K002
Speed limit,min-1,n/a,K002
Manufacturer,,IBU,K002
Bearing code,,K002,K002
Sample number,,,K002
Installation site,,,K002
Installation type (system type),,,K002
Operator,,"Chair of design and Drive Technology, Paderborn",K002
Number of load cycles,cycles,,K002
Lifetime,h,19,K002
Load,N,3000,K002
Dynamic equivalent load,N,,K002
Rotational speed,min-1,2900,K002
Load direction,°,,K002
Comment,,,K002
Bearing Type,,deep groove ball bearing,K003
"Bearing designation(dimension series, bore code)",,6203,K003
Suffix,,,K003
Diameter of inner raceway,mm,n/a,K003
Diameter of outer raceway,mm,n/a,K003
Pitch circle diameter,mm,29.05,K003
Number of rolling elements,pc.,8,K003
Rolling element diameter,mm,6.75,K003
Length of rolling element,mm,6.75,K003
Nominal pressure angle,°,0,K003
Static load rating,N,n/a,K003
Dynamic load rating,N,n/a,K003
Speed limit,min-1,n/a,K003
Manufacturer,,IBU,K003
Bearing code,,K003,K003
Sample number,,,K003
Installation site,,,K003
Installation type (system type),,,K003
Operator,,"Chair of design and Drive Technology, Paderborn",K003
Number of load cycles,cycles,,K003
Lifetime,h,1,K003
Load,N,3000,K003
Dynamic equivalent load,N,,K003
Rotational speed,min-1,3000,K003
Load direction,°,,K003
Comment,,,K003
Bearing Type,,deep groove ball bearing,K004
"Bearing designation(dimension series, bore code)",,6203,K004
Suffix,,,K004
Diameter of inner raceway,mm,n/a,K004
Diameter of outer raceway,mm,n/a,K004
Pitch circle diameter,mm,29.05,K004
Number of rolling elements,pc.,8,K004
Rolling element diameter,mm,6.75,K004
Length of rolling element,mm,6.75,K004
Nominal pressure angle,°,0,K004
Static load rating,N,n/a,K004
Dynamic load rating,N,n/a,K004
Speed limit,min-1,n/a,K004
Manufacturer,,IBU,K004
Bearing code,,K004,K004
Sample number,,,K004
Installation site,,,K004
Installation type (system type),,,K004
Operator,,"Chair of design and Drive Technology, Paderborn",K004
Number of load cycles,cycles,,K004
Lifetime,h,5,K004
Load,N,3000,K004
Dynamic equivalent load,N,,K004
Rotational speed,min-1,3000,K004
Load direction,°,,K004
Comment,,,K004
Bearing Type,,deep groove ball bearing,K005
"Bearing designation(dimension series, bore code)",,6203,K005
Suffix,,,K005
Diameter of inner raceway,mm,n/a,K005
Diameter of outer raceway,mm,n/a,K005
Pitch circle diameter,mm,29.05,K005
Number of rolling elements,pc.,8,K005
Rolling element diameter,mm,6.75,K005
Length of rolling element,mm,6.75,K005
Nominal pressure angle,°,0,K005
Static load rating,N,n/a,K005
Dynamic load rating,N,n/a,K005
Speed limit,min-1,n/a,K005
Manufacturer,,IBU,K005
Bearing code,,K005,K005
Sample number,,,K005
Installation site,,,K005
Installation type (system type),,,K005
Operator,,"Chair of design and Drive Technology, Paderborn",K005
Number of load cycles,cycles,,K005
Lifetime,h,10,K005
Load,N,3000,K005
Dynamic equivalent load,N,,K005
Rotational speed,min-1,3000,K005
Load direction,°,,K005
Comment,,,K005
Bearing Type,,deep groove ball bearing,K006
"Bearing designation(dimension series, bore code)",,6203,K006
Suffix,,,K006
Diameter of inner raceway,mm,n/a,K006
Diameter of outer raceway,mm,n/a,K006
Pitch circle diameter,mm,29.05,K006
Number of rolling elements,pc.,8,K006
Rolling element diameter,mm,6.75,K006
Length of rolling element,mm,6.75,K006
Nominal pressure angle,°,0,K006
Static load rating,N,n/a,K006
Dynamic load rating,N,n/a,K006
Speed limit,min-1,n/a,K006
Manufacturer,,IBU,K006
Bearing code,,K006,K006
Sample number,,,K006
Installation site,,,K006
Installation type (system type),,,K006
Operator,,"Chair of design and Drive Technology, Paderborn",K006
Number of load cycles,cycles,,K006
Lifetime,h,16,K006
Load,N,3000,K006
Dynamic equivalent load,N,,K006
Rotational speed,min-1,2900,K006
Load direction,°,,K006
Comment,,,K006
Bearing Type,,deep groove ball bearing,KA01
"Bearing designation(dimension series, bore code)",,6203,KA01
Suffix,,,KA01
Diameter of inner raceway,mm,n/a,KA01
Diameter of outer raceway,mm,n/a,KA01
Number of rolling elements,pc.,8,KA01
Rolling element diameter,mm,6.75,KA01
Length of rolling element,mm,6.75,KA01
Nominal pressure angle,°,0,KA01
Static load rating,N,n/a,KA01
Dynamic load rating,N,n/a,KA01
Speed limit,"-1min",n/a,KA01
Manufacturer,,MTK,KA01
Bearing code,,KA01,KA01
Pitch circle diameter,mm,29.05,KA01
Sample number,,6203-A1,KA01
Installation site,,,KA01
Installation type (system type),,,KA01
Operator,,"Chair of design and Drive Technology, Paderborn",KA01
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA01
Lifetime,h:min,,KA01
Load,N,,KA01
Dynamic equivalent load,N,,KA01
Rotational speed,"-1min",,KA01
Load direction,°,,KA01
Comment,,,KA01
Bearing Type,,deep groove ball bearing,KA03
"Bearing designation(dimension series, bore code)",,6203,KA03
Suffix,,,KA03
Diameter of inner raceway,mm,n/a,KA03
Diameter of outer raceway,mm,n/a,KA03
Pitch circle diameter,mm,29.05,KA03
Number of rolling elements,pc.,8,KA03
Rolling element diameter,mm,6.75,KA03
Length of rolling element,mm,6.75,KA03
Nominal pressure angle,°,0,KA03
Static load rating,N,n/a,KA03
Dynamic load rating,N,n/a,KA03
Speed limit,min-1,n/a,KA03
Manufacturer,,MTK,KA03
Bearing code,,KA03,KA03
Sample number,,6203-A3,KA03
Installation site,,,KA03
Installation type (system type),,,KA03
Operator,,"Chair of design and Drive Technology, Paderborn",KA03
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA03
Lifetime,h:min,,KA03
Load,N,,KA03
Dynamic equivalent load,N,,KA03
Rotational speed,min-1,,KA03
Load direction,°,,KA03
Comment,,,KA03
Bearing Type,,deep groove ball bearing,KA04
"Bearing designation(dimension series, bore code)",,6203,KA04
Suffix,,,KA04
Diameter of inner raceway,mm,24.00,KA04
Diameter of outer raceway,mm,33.10,KA04
Pitch circle diameter,mm,28.55,KA04
Number of rolling elements,pc.,8,KA04
Rolling element diameter,mm,6.75,KA04
Length of rolling element,mm,6.75,KA04
Nominal pressure angle,°,0,KA04
Static load rating,N,4750,KA04
Dynamic load rating,N,9500,KA04
Speed limit,min-1,12000,KA04
Manufacturer,,FAG,KA04
Bearing code,,KA04,KA04
Sample number,,15-03,KA04
Installation site,,03,KA04
Installation type (system type),,bearing damage test bench (KAt),KA04
Operator,,"Chair of design and Drive Technology, Paderborn",KA04
Number of load cycles,cycles,2166300,KA04
Lifetime,h:min,12:01,KA04
Load,N,3800,KA04
Dynamic equivalent load,N,3800,KA04
Rotational speed,min-1,2900,KA04
Load direction,°,0,KA04
Comment,,n/a,KA04
Bearing Type,,deep groove ball bearing,KA05
"Bearing designation(dimension series, bore code)",,6203,KA05
Suffix,,,KA05
Diameter of inner raceway,mm,n/a,KA05
Diameter of outer raceway,mm,n/a,KA05
Pitch circle diameter,mm,29.05,KA05
Number of rolling elements,pc.,8,KA05
Rolling element diameter,mm,6.75,KA05
Length of rolling element,mm,6.75,KA05
Nominal pressure angle,°,0,KA05
Static load rating,N,n/a,KA05
Dynamic load rating,N,n/a,KA05
Speed limit,min-1,n/a,KA05
Manufacturer,,IBU,KA05
Bearing code,,KA05,KA05
Sample number,,6203-A5,KA05
Installation site,,,KA05
Installation type (system type),,,KA05
Operator,,"Chair of design and Drive Technology, Paderborn",KA05
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA05
Lifetime,h:min,,KA05
Load,N,,KA05
Dynamic equivalent load,N,,KA05
Rotational speed,min-1,,KA05
Load direction,°,,KA05
Comment,,,KA05
Bearing Type,,deep groove ball bearing,KA06
"Bearing designation(dimension series, bore code)",,6203,KA06
Suffix,,,KA06
Diameter of inner raceway,mm,n/a,KA06
Diameter of outer raceway,mm,n/a,KA06
Pitch circle diameter,mm,29.05,KA06
Number of rolling elements,pc.,8,KA06
